A,B,BitWidth,Exact,Truncated,Simplified,Reduced,Stochastic,AbsError_Truncated,RelError_Truncated,AbsError_Simplified,RelError_Simplified,AbsError_Reduced,RelError_Reduced,AbsError_Stochastic,RelError_Stochastic
8,6,4,14,12,14,14,1,2,0.14285714285714285,0,0.0,0,0.0,13,0.9285714285714286
8,7,4,15,12,15,15,0,3,0.2,0,0.0,0,0.0,15,1.0
8,7,4,15,12,15,15,4,3,0.2,0,0.0,0,0.0,11,0.7333333333333333
8,8,4,0,0,8,0,3,0,0.0,8,8.0,0,0.0,3,3.0
8,8,4,0,0,8,0,6,0,0.0,8,8.0,0,0.0,6,6.0
8,9,4,1,0,9,1,2,1,1.0,8,8.0,0,0.0,1,1.0
8,9,4,1,0,9,1,4,1,1.0,8,8.0,0,0.0,3,3.0
8,10,4,2,0,10,2,14,2,1.0,8,4.0,0,0.0,12,6.0
8,10,4,2,0,10,2,2,2,1.0,8,4.0,0,0.0,0,0.0
8,11,4,3,0,11,3,4,3,1.0,8,2.6666666666666665,0,0.0,1,0.3333333333333333
8,11,4,3,0,11,3,8,3,1.0,8,2.6666666666666665,0,0.0,5,1.6666666666666667
8,12,4,4,4,12,4,10,0,0.0,8,2.0,0,0.0,6,1.5
8,12,4,4,4,12,4,0,0,0.0,8,2.0,0,0.0,4,1.0
8,13,4,5,4,13,5,9,1,0.2,8,1.6,0,0.0,4,0.8
8,13,4,5,4,13,5,6,1,0.2,8,1.6,0,0.0,1,0.2
8,14,4,6,4,14,6,15,2,0.3333333333333333,8,1.3333333333333333,0,0.0,9,1.5
8,14,4,6,4,14,6,10,2,0.3333333333333333,8,1.3333333333333333,0,0.0,4,0.6666666666666666
8,15,4,7,4,15,7,11,3,0.42857142857142855,8,1.1428571428571428,0,0.0,4,0.5714285714285714
8,15,4,7,4,15,7,15,3,0.42857142857142855,8,1.1428571428571428,0,0.0,8,1.1428571428571428
9,0,4,9,8,9,9,6,1,0.1111111111111111,0,0.0,0,0.0,3,0.3333333333333333
